;index;username;date;retweets;favorites;text;emotion;emotion_probability
20;21;realDonaldTrump;07.02.20 17:34;9306;61600;Off to North Carolina! pic.twitter.com/dreH1rw3sz;joy;0.166854
21;22;realDonaldTrump;07.02.20 17:31;27151;151477;The Democrat Party has given up on counting votes in Iowa. Looks like it all got computer “fried”. Nobody knows who the real winner is. Maybe it’s Sleepy Joe, but it’s not looking that way. They lost millions & millions of dollars, all for NOTHING. But I WON Iowa big!;joy;0.580439
22;24;realDonaldTrump;07.02.20 13:59;26006;109143;I think they should blame RUSSIA, RUSSIA, RUSSIA again! If they can’t count votes properly, how are they going to run U.S. HealthCare? https:// twitter.com/ap_politics/st atus/1225562507949068289 …;disgust;0.434385
23;25;realDonaldTrump;07.02.20 13:55;33230;151869;Welcome back James! https:// twitter.com/realDailyWire/ status/1225634557677801474 …;disgust;0.081646
24;26;realDonaldTrump;07.02.20 13:47;10926;50145;Very true, thank you Ted & John. I love Texas! https:// twitter.com/SenTedCruz/sta tus/1225600065005408256 …;joy;0.779151
25;27;realDonaldTrump;07.02.20 13:39;6653;31146;So do I! https:// twitter.com/lindseygrahams c/status/1225432527290142720 …;disgust;0.201337
26;28;realDonaldTrump;07.02.20 13:00;10697;50468;Thank you Charlie! https:// twitter.com/charliekirk11/ status/1225159300089143296 …;disgust;0.073284
27;29;realDonaldTrump;07.02.20 12:28;29092;102113;Don’t worry, it won’t happen! https:// twitter.com/TuckerCarlson/ status/1225607709044637697 …;fear;0.658679
28;30;realDonaldTrump;07.02.20 11:31;9555;53285;....he will be successful, especially as the weather starts to warm & the virus hopefully becomes weaker, and then gone. Great discipline is taking place in China, as President Xi strongly leads what will be a very successful operation. We are working closely with China to help!;joy;0.739536
29;31;realDonaldTrump;07.02.20 11:31;17041;100369;Just had a long and very good conversation by phone with President Xi of China. He is strong, sharp and powerfully focused on leading the counterattack on the Coronavirus. He feels they are doing very well, even building hospitals in a matter of only days. Nothing is easy, but...;joy;0.717067
30;32;realDonaldTrump;07.02.20 02:17;21163;88055;“The Senate acquitted President Trump of both charges fabricated by Congressional Democrats, led by Speaker Pelosi and Adam Schiff, to carry out the most egregious and partisan attack against any president in our history - a man they knew to be innocent.” @LouDobbs @FoxBusiness;anger;0.479755
31;33;realDonaldTrump;07.02.20 02:16;22177;109190;“This President has done more for African Americans in this Country than any President since Lincoln.” @LouDobbs;disgust;0.344069
32;35;realDonaldTrump;06.02.20 23:32;17752;96147;Welcome back to Earth, @Astro_Christina , and congratulations on breaking the female record for the longest stay in space! You’re inspiring young women and making the USA proud! Enjoyed speaking with you and @Astro_Jessica on the first all-female spacewalk IN HISTORY last year.;joy;0.965807
33;36;realDonaldTrump;06.02.20 23:11;20510;107076;Nevada, I hear you on Yucca Mountain and my Administration will RESPECT you! Congress and previous Administrations have long failed to find lasting solutions – my Administration is committed to exploring innovative approaches – I’m confident we can get it done!;joy;0.38676
34;37;realDonaldTrump;06.02.20 22:13;13410;61772;So true! https:// twitter.com/mirandadevine/ status/1225309906863087616 …;disgust;0.211175
35;39;realDonaldTrump;06.02.20 06:22;38378;199063;Had failed presidential candidate @MittRomney devoted the same energy and anger to defeating a faltering Barack Obama as he sanctimoniously does to me, he could have won the election. Read the Transcripts!;fear;0.393844
36;40;realDonaldTrump;06.02.20 06:06;3964;16578;@nytimes “The Votes Were A Resounding Victory For Mr. Trump.” True, but the Impeachment Hoax was just a continuation of the Radical Left, Do Nothing Democrats corrupt practices!;joy;0.602476
37;42;realDonaldTrump;05.02.20 23:07;60265;296954;I will be making a public statement tomorrow at 12:00pm from the @WhiteHouse to discuss our Country’s VICTORY on the Impeachment Hoax!;joy;0.377316
38;45;realDonaldTrump;05.02.20 16:22;28253;142944;“The Democrats want to run a Country, and they can’t run a Caucus.” Brad Blakeman @FoxNews Iowa is a complete disaster for the Dems. They should bring in Mini Mike Bloomberg ASAP!;disgust;0.639135
39;46;realDonaldTrump;05.02.20 14:19;22449;104952;Thank you Jonathan, and great job! https:// twitter.com/JonathanTurley /status/1224888842597040129 …;joy;0.378801
40;47;realDonaldTrump;05.02.20 13:59;48939;325880;It was a great and triumphant evening for our Country. Thank you for all of the nice remarks and wonderful reviews of my State of the Union Speech. It was my great honor to have done it!;joy;0.95871
41;48;realDonaldTrump;05.02.20 02:02;38350;141900;#SOTU2020 pic.twitter.com/W03gQLkdpo;emotionless;0.0
42;50;realDonaldTrump;04.02.20 16:59;32856;176619;My Approval Rating in the Republican Party = 95%, a record! Big Iowa win. Approval Rating overall = 53%, a new high. With our great Economy and other major successes, would be 20 points higher without the phony Witch Hunts and Hoaxes???;joy;0.755934
43;51;realDonaldTrump;04.02.20 16:52;29164;172518;Market up big today on very good economic news. JOBS, JOBS, JOBS!;joy;0.620693
44;52;realDonaldTrump;04.02.20 15:34;26872;135239;The Democrat Party in Iowa really messed up, but the Republican Party did not. I had the largest re-election vote in the history of that great state, by far, beating President Obama’s previous record by a lot. Also, 97% Plus of the vote! Thank you Iowa!;joy;0.427948
45;53;realDonaldTrump;04.02.20 15:22;28519;139478;When will the Democrats start blaming RUSSIA, RUSSIA, RUSSIA, instead of their own incompetence for the voting disaster that just happened in the Great State of Iowa?;sadness;0.549045
46;54;realDonaldTrump;04.02.20 14:27;16802;74710;It is not the fault of Iowa, it is the Do Nothing Democrats fault. As long as I am President, Iowa will stay where it is. Important tradition! https:// twitter.com/SteveKornacki/ status/1224682732208508928 …;disgust;0.207535
47;55;realDonaldTrump;04.02.20 12:33;37351;167284;The Democrat Caucus is an unmitigated disaster. Nothing works, just like they ran the Country. Remember the 5 Billion Dollar Obamacare Website, that should have cost 2% of that. The only person that can claim a very big victory in Iowa last night is “Trump”.;sadness;0.701222
48;56;realDonaldTrump;04.02.20 05:27;31817;212607;Big WIN for us in Iowa tonight. Thank you!;joy;0.832056
49;57;realDonaldTrump;04.02.20 04:20;25511;117070;Many people do not know what a great guy & fantastic political talent the great Rush Limbaugh is. There is nobody like him. Looking for a speedy recovery for our friend! https:// twitter.com/dcexaminer/sta tus/1224425704915374080 …;joy;0.632895
50;59;realDonaldTrump;03.02.20 18:03;35814;155969;Where’s the Whistleblower? Where’s the second Whistleblower? Where’s the Informer? Why did Corrupt politician Schiff MAKE UP my conversation with the Ukrainian President??? Why didn’t the House do its job? And sooo much more!;disgust;0.486731
51;60;realDonaldTrump;03.02.20 17:52;25034;139639;KEEP AMERICA GREAT!;joy;0.737304
52;61;realDonaldTrump;03.02.20 17:52;36852;222914;MAKE AMERICA GREAT AGAIN!;joy;0.748909
53;62;realDonaldTrump;03.02.20 17:51;20561;89938;Republicans in Iowa, go out and Caucus today. Your great Trade Deals with China, Mexico, Canada, Japan, South Korea and more, are DONE. Great times are coming, after waiting for decades, for our Farmers, Ranchers, Manufacturers and ALL. Nobody else could have pulled this off!;joy;0.646915
54;63;realDonaldTrump;03.02.20 17:42;26480;122084;I hope Republicans & the American people realize that the totally partisan Impeachment Hoax is exacty that, a Hoax. Read the Transcripts, listen to what the President & Foreign Minister of Ukraine said (“No Pressure”). Nothing will ever satisfy the Do Nothing, Radical Left Dems!;disgust;0.490154
55;64;realDonaldTrump;03.02.20 14:15;5350;12897;@LindseyGrahamSC https:// twitter.com/michaelbeatty3 /status/1224003122055372800 …;disgust;0.280839
56;65;realDonaldTrump;03.02.20 14:02;15828;76065;The DNC on Bernie Sanders, “Looks like they’re going to do it to him again, doesn’t it?” @SteveDoocy @foxandfriends;disgust;0.402177
57;66;realDonaldTrump;03.02.20 06:25;27003;121582;Hope you liked this! https:// twitter.com/TeamTrump/stat us/1224171421221429248 …;disgust;0.340177
58;67;realDonaldTrump;03.02.20 06:08;17006;96577;Great company! https:// twitter.com/DiamondandSilk /status/1224115838304890883 …;joy;0.388779
59;68;realDonaldTrump;03.02.20 06:05;13598;73336;Thank you Mike! https:// twitter.com/realMikeLindel l/status/1224068212893061122 …;disgust;0.074853
60;69;realDonaldTrump;03.02.20 04:41;22020;104193;So Great! https:// twitter.com/hunterw/status /1224082805405167618 …;disgust;0.223841
61;70;realDonaldTrump;03.02.20 04:27;43015;314411;Congratulations to the Kansas City Chiefs on a great game and a fantastic comeback under immense pressure. We are proud of you and the Great State of Missouri. You are true Champions!;joy;0.962234
62;71;realDonaldTrump;03.02.20 00:56;54197;213048;I promised to restore hope in America. That includes the least among us. Together, let’s KEEP AMERICA GREAT! Text TRUMP to 88022 if you liked our Super Bowl ad! pic.twitter.com/Lgjt53B7QX;joy;0.733176
63;72;realDonaldTrump;03.02.20 00:13;37757;282420;ENJOY THE GAME USA, OUR COUNTRY IS DOING GREAT!;joy;0.8991
64;73;realDonaldTrump;02.02.20 21:17;12220;73478;My @SuperBowl Interview at 3:30 P.M. on @foxnetworks . Enjoy!;joy;0.891948
65;74;realDonaldTrump;02.02.20 06:25;25235;121173;Mini Mike is now negotiating both to get on the Democrat Primary debate stage, and to have the right to stand on boxes, or a lift, during the debates. This is sometimes done, but really not fair!;disgust;0.569688
66;75;realDonaldTrump;02.02.20 06:17;25571;103260;Many of the ads you are watching were paid for by Mini Mike Bloomberg. He is going nowhere, just wasting his money, but he is getting the DNC to rig the election against Crazy Bernie, something they wouldn’t do for @CoryBooker and others. They are doing it to Bernie again, 2016.;disgust;0.604566
67;76;realDonaldTrump;02.02.20 06:10;25128;114417;Mini Mike is part of the Fake News. They are all working together. In fact, Bloomberg isn’t covering himself (too boring to do), or other Dems. Only Trump. That sounds fair! It’s all the Fake News Media, and that’s why nobody believes in them any more.;sadness;0.571957
68;77;realDonaldTrump;02.02.20 06:04;26474;111791;The Radical Left, Do Nothing Democrats, don’t want justice when pushing the Impeachment Hoax, they only want to destabilize the Republican Party so they can do better in the 2020 election, & that includes the House & Senate. They are playing with the people by taking it this far!;sadness;0.435685
69;78;realDonaldTrump;02.02.20 05:48;8088;35301;Correct! https:// twitter.com/senatemajldr/s tatus/1219826046125641733 …;disgust;0.338339
70;79;realDonaldTrump;02.02.20 05:42;10159;47960;Thanks for your invaluable help Chuck! https:// twitter.com/chuckgrassley/ status/1222666109599539200 …;disgust;0.080441
71;80;realDonaldTrump;02.02.20 05:28;13939;58471;Wall is moving along strong, tall and quickly. Thank you Jim for all of your help! https:// twitter.com/JimInhofe/stat us/1120434609131532288 …;joy;0.196672
72;81;realDonaldTrump;02.02.20 05:25;8351;37538;Thank you John! https:// twitter.com/SenJohnBarrass o/status/1223262560155250688 …;disgust;0.075657
73;82;realDonaldTrump;02.02.20 05:24;5872;32197;Happy birthday to a wonderful man & friend! https:// twitter.com/SenJohnBarrass o/status/1223618785594265600 …;joy;0.89787
74;83;realDonaldTrump;01.02.20 17:14;34109;308711;Getting a little exercise this morning! pic.twitter.com/fyAAcbhbgk;joy;0.490296
75;84;realDonaldTrump;01.02.20 14:42;23243;101898;Trump poll numbers are the highest since election, despite constant phony Witch Hunts! Tens of thousands of people attending rallies (which the Fake News never mentions) to see “The Greatest Show On Earth”. Fun because USA is WINNING AGAIN! https:// twitter.com/olivianuzzi/st atus/1223302455276064770 …;joy;0.378351
76;85;realDonaldTrump;01.02.20 14:14;21289;90804;Congratulations to @loudobbs , Number One. Lou has shown the Fake News what happens when you cover “America’s Greatest President” fairly & objectively! #MAGA #KAG https:// twitter.com/LouDobbs/statu s/1222664158342152193 …;joy;0.361029
77;86;realDonaldTrump;01.02.20 01:13;37364;194572;No matter what you give to the Democrats, in the end, they will NEVER be satisfied. In the House, they gave us NOTHING!;anger;0.55304
78;87;realDonaldTrump;01.02.20 00:05;34953;165085;Democrats = 17 Witnesses. Republicans = 0 Witnesses.;disgust;0.343754
79;88;realDonaldTrump;31.01.20 22:06;44017;183905;The Radical Left, Do Nothing Democrats keep chanting “fairness”, when they put on the most unfair Witch Hunt in the history of the U.S. Congress. They had 17 Witnesses, we were allowed ZERO, and no lawyers. They didn’t do their job, had no case. The Dems are scamming America!;disgust;0.638531
80;89;realDonaldTrump;31.01.20 15:33;26283;114540;Incredible numbers! https:// twitter.com/realDonaldTrum p/status/1223099086389121026 …;joy;0.182018
81;90;realDonaldTrump;31.01.20 15:25;23875;92005;Nadler ripped final argument away from Schiff, thinks Shifty did a terrible job. They are fighting big time! https:// twitter.com/Julio_Rosas11/ status/1223090988060758021 …;sadness;0.573029
82;91;realDonaldTrump;31.01.20 05:22;28626;110689;THE BEST IS YET TO COME! pic.twitter.com/SOn6wRV9Zs;joy;0.596856
83;92;realDonaldTrump;31.01.20 04:16;20935;77101;Americans across the political spectrum are disgusted by the Washington Democrats’ Partisan Hoaxes, Witch Hunts, & Con Jobs. Registered Democrats and Independents are leaving the Democrat Party in droves, & we are welcoming these voters to the Republican Party w/ wide open arms! pic.twitter.com/UCdQXY3vPn;disgust;0.761073
84;93;realDonaldTrump;31.01.20 04:07;17283;63877;Washington Dems have spent the last 3 years trying to overturn the last election – and we will make sure they face another crushing defeat in the NEXT ELECTION. Together, we are going to win back the House, we are going to hold the Senate, & we are going to keep the White House! pic.twitter.com/VshQceiwUA;sadness;0.526406
85;94;realDonaldTrump;31.01.20 04:04;14745;60654;To keep America Safe, we have fully rebuilt the U.S. Military – it is now stronger, more powerful, and more lethal than ever before. Thanks to the courage of American Heroes, the ISIS Caliphate has been DESTROYED & its founder & leader – the animal known as al-Baghdadi – is DEAD! pic.twitter.com/9LXDf6mJKf;joy;0.547433
86;95;realDonaldTrump;31.01.20 03:54;24418;100133;This November, we are going to defeat the Radical Socialist Democrats and win the Great State of Iowa in a Historic Landslide! #KAG2020 pic.twitter.com/jYIbSdyGjU;joy;0.661953
87;96;realDonaldTrump;31.01.20 03:48;19539;88388;Thank you Iowa, I love you! https://www. pscp.tv/w/cQOMgDEzNTg4 Mzh8MXZPeHdvYkxCQUx4QrT6MSzbemiKv0jhIMKEWz80dLpl7urO3cn8NWkS7psa?t=56s …;joy;0.809158
88;97;realDonaldTrump;31.01.20 01:19;18878;73498;Great poll in Iowa, where I just landed for a Big Rally! #KAG2020 pic.twitter.com/4YCo01XYCn;joy;0.584979
89;98;realDonaldTrump;30.01.20 23:04;22964;138237;Working closely with China and others on Coronavirus outbreak. Only 5 people in U.S., all in good recovery.;joy;0.628873
90;99;realDonaldTrump;30.01.20 22:58;12210;75152;Leaving Michigan now, great visit, heading for Iowa. Big Rally!;joy;0.470041
